congress,southern,Dem.med,Rep.med
85,Southern States,-0.117,0.252
85,All States,-0.306,0.2645
86,Border States,-0.288,0.275
86,Northern States,-0.3875,0.255
86,Southern States,-0.114,0.252
86,All States,-0.313,0.255
87,Border States,-0.276,0.395
87,Northern States,-0.386,0.2355
87,Southern States,-0.108,0.25
87,All States,-0.304,0.2445
88,Border States,-0.236,0.275
88,Northern States,-0.387,0.236
88,Southern States,-0.1285,0.267
88,All States,-0.3275,0.25
89,Border States,-0.288,0.395
89,Northern States,-0.386,0.234
89,Southern States,-0.1325,0.267
89,All States,-0.327,0.243
90,Border States,-0.2835,0.26
90,Northern States,-0.395,0.235
90,Southern States,-0.1,0.2495
90,All States,-0.3425,0.241
91,Border States,-0.331,0.2675
91,Northern States,-0.397,0.236
91,Southern States,-0.128,0.245
91,All States,-0.3445,0.244
92,Border States,-0.288,0.275
92,Northern States,-0.4005,0.235
92,Southern States,-0.1255,0.265
92,All States,-0.344,0.246
93,Border States,-0.279,0.29400000000000004
93,Northern States,-0.398,0.243
93,Southern States,-0.154,0.297
93,All States,-0.3505,0.25
94,Border States,-0.279,0.23299999999999998
94,Northern States,-0.3835,0.241
94,Southern States,-0.173,0.3
94,All States,-0.3385,0.25
95,Border States,-0.2185,0.262
95,Northern States,-0.3745,0.247
95,Southern States,-0.175,0.3
95,All States,-0.3235,0.262
96,Border States,-0.279,0.29500000000000004
96,Northern States,-0.365,0.2695
96,Southern States,-0.181,0.318
96,All States,-0.321,0.281
97,Border States,-0.196,0.3325
97,Northern States,-0.368,0.282
97,Southern States,-0.1765,0.32
97,All States,-0.32,0.307
98,Border States,-0.196,0.332
98,Northern States,-0.355,0.326
98,Southern States,-0.175,0.333
98,All States,-0.317,0.328
99,Border States,-0.196,0.332
99,Northern States,-0.355,0.331
99,Southern States,-0.193,0.377
99,All States,-0.32,0.344
100,Border States,-0.196,0.333
100,Northern States,-0.355,0.313
100,Southern States,-0.196,0.382
100,All States,-0.32,0.346
101,Border States,-0.196,0.347
101,Northern States,-0.357,0.301
101,Southern States,-0.193,0.381
101,All States,-0.32,0.344
102,Border States,-0.242,0.3705
102,Northern States,-0.357,0.315
102,Southern States,-0.198,0.387
