CountyCode,CountyName,DistrictCode,DistrictName,Teachers/Admins,RetentionPct_District,RetentionPct_State
15,Gloucester,1775,Gloucester County Vocational-Technical School District,Teachers,92.7,88.4
15,Gloucester,1830,Greenwich Township School District,Administrators,100.0,86.6
15,Gloucester,1830,Greenwich Township School District,Teachers,90.7,88.4
15,Gloucester,2070,Harrison Township School District,Administrators,100.0,86.6
15,Gloucester,2070,Harrison Township School District,Teachers,90.1,88.4
15,Gloucester,2440,Kingsway Regional School District,Administrators,88.2,86.6
15,Gloucester,2440,Kingsway Regional School District,Teachers,83.1,88.4
15,Gloucester,2750,Logan Township School District,Administrators,71.4,86.6
15,Gloucester,2750,Logan Township School District,Teachers,87.8,88.4
15,Gloucester,2990,Mantua Township School District,Administrators,57.1,86.6
15,Gloucester,2990,Mantua Township School District,Teachers,89.5,88.4
15,Gloucester,3280,Monroe Township Public School District,Administrators,81.5,86.6
15,Gloucester,3280,Monroe Township Public School District,Teachers,89.3,88.4
15,Gloucester,3490,National Park Boro School District,Administrators,80.0,86.6
15,Gloucester,3490,National Park Boro School District,Teachers,90.3,88.4
15,Gloucester,4020,Paulsboro School District,Administrators,88.9,86.6
15,Gloucester,4020,Paulsboro School District,Teachers,84.8,88.4
15,Gloucester,4140,Pitman Boro School District,Administrators,91.7,86.6
15,Gloucester,4140,Pitman Boro School District,Teachers,97.5,88.4
15,Gloucester,4880,South Harrison Township School District,Administrators,0.0,86.6
15,Gloucester,4880,South Harrison Township School District,Teachers,77.8,88.4
15,Gloucester,4940,Delsea Regional High School District,Administrators,75.0,86.6
15,Gloucester,4940,Delsea Regional High School District,Teachers,88.1,88.4
15,Gloucester,5120,Swedesboro-Woolwich School District,Administrators,90.0,86.6
15,Gloucester,5120,Swedesboro-Woolwich School District,Teachers,87.9,88.4
15,Gloucester,5500,Washington Township School District,Administrators,81.0,86.6
15,Gloucester,5500,Washington Township School District,Teachers,89.1,88.4
15,Gloucester,5590,Wenonah  Boro School District,Administrators,100.0,86.6
15,Gloucester,5590,Wenonah  Boro School District,Teachers,94.7,88.4
15,Gloucester,5620,West Deptford Township School District,Administrators,73.7,86.6
15,Gloucester,5620,West Deptford Township School District,Teachers,91.7,88.4
15,Gloucester,5740,Westville Boro Public School District,Administrators,71.4,86.6
15,Gloucester,5740,Westville Boro Public School District,Teachers,88.2,88.4
15,Gloucester,5860,Woodbury City Public School District,Administrators,93.3,86.6
15,Gloucester,5860,Woodbury City Public School District,Teachers,78.6,88.4
15,Gloucester,5870,Woodbury Heights Public School District,Administrators,0.0,86.6
15,Gloucester,5870,Woodbury Heights Public School District,Teachers,88.5,88.4
17,Hudson,0220,Bayonne School District,Administrators,98.1,86.6
17,Hudson,0220,Bayonne School District,Teachers,92.3,88.4
17,Hudson,1200,East Newark School District,Administrators,20.0,86.6
17,Hudson,1200,East Newark School District,Teachers,57.9,88.4
17,Hudson,1850,Guttenberg School District,Administrators,83.3,86.6
17,Hudson,1850,Guttenberg School District,Teachers,80.6,88.4
17,Hudson,2060,Harrison Public Schools,Administrators,100.0,86.6
17,Hudson,2060,Harrison Public Schools,Teachers,93.1,88.4
17,Hudson,2210,Hoboken Public School District,Administrators,88.9,86.6
17,Hudson,2210,Hoboken Public School District,Teachers,86.0,88.4
17,Hudson,2295,Hudson County Schools of Technology School District,Administrators,84.0,86.6
17,Hudson,2295,Hudson County Schools of Technology School District,Teachers,90.8,88.4
17,Hudson,2390,Jersey City Public Schools,Administrators,94.2,86.6
17,Hudson,2390,Jersey City Public Schools,Teachers,90.1,88.4
17,Hudson,2410,Kearny,Administrators,93.3,86.6
17,Hudson,2410,Kearny,Teachers,94.6,88.4
17,Hudson,3610,North Bergen School District,Administrators,97.6,86.6
17,Hudson,3610,North Bergen School District,Teachers,94.5,88.4
17,Hudson,4730,Secaucus School District,Administrators,85.7,86.6
17,Hudson,4730,Secaucus School District,Teachers,88.9,88.4
17,Hudson,5240,Union City School District,Administrators,86.7,86.6
17,Hudson,5240,Union City School District,Teachers,90.5,88.4
17,Hudson,5580,Weehawken Public School District,Administrators,100.0,86.6
17,Hudson,5580,Weehawken Public School District,Teachers,84.3,88.4
17,Hudson,5670,West New York School District,Administrators,95.0,86.6
17,Hudson,5670,West New York School District,Teachers,90.1,88.4
