"","income","educ","cntrep_opinions","cntrep_help","contact_rep","pid3.recode","women","race.eth","age"
"150",2,6,1,0,1,1,0,4,63
"151",2,5,0,0,0,2,0,1,43
"152",2,2,0,0,0,1,0,1,67
"153",2,4,0,0,0,1,0,1,62
"154",NA,5,1,1,2,3,0,1,37
"155",4,4,0,0,0,2,0,1,63
"156",2,5,0,0,0,3,0,1,73
"157",1,5,1,0,1,3,0,1,59
"158",2,3,0,0,0,3,0,1,51
"159",1,3,0,0,0,2,0,1,67
"160",NA,2,1,1,2,1,1,1,64
"161",2,4,0,0,0,3,1,1,59
"162",1,3,0,0,0,3,1,1,46
"163",3,5,0,0,0,2,1,1,58
"164",1,3,0,0,0,1,1,1,83
"165",2,5,0,0,0,3,0,1,42
"166",1,3,0,1,1,3,1,1,24
"167",1,2,0,0,0,2,0,1,89
"168",1,5,0,0,0,2,1,1,46
"169",2,3,1,0,1,1,1,1,65
"170",1,5,0,0,0,3,1,5,67
"171",3,5,0,0,0,1,0,1,59
"172",2,5,1,0,1,2,0,1,38
"173",1,5,0,0,0,3,0,1,69
"174",NA,6,0,0,0,3,0,1,60
"175",2,4,1,0,1,3,1,1,57
"176",NA,4,1,1,2,3,1,1,62
"177",2,6,1,0,1,1,1,1,59
"178",4,6,0,0,0,3,1,1,41
"179",2,3,1,1,2,2,1,1,52
"180",1,2,0,0,0,2,1,1,82
"181",1,5,0,0,0,2,1,1,43
"182",1,3,0,0,0,1,1,1,34
"183",2,3,0,0,0,1,1,3,44
"184",2,5,1,0,1,3,0,1,85
"185",4,2,1,0,1,3,0,5,68
"186",1,2,0,0,0,1,1,2,71
"187",4,2,0,0,0,1,1,4,18
"188",1,2,0,0,0,2,1,1,34
"189",1,5,0,0,0,1,1,1,59
"190",3,5,0,0,0,1,0,1,60
"191",2,5,1,0,1,2,1,1,60
"192",4,5,0,0,0,3,1,1,32
"193",NA,6,1,0,1,1,1,1,77
"194",NA,5,0,0,0,3,1,4,63
"195",1,2,0,1,1,2,0,1,62
"196",3,5,1,1,2,2,1,3,57
"197",2,3,0,0,0,1,0,1,76
"198",3,6,0,0,0,1,1,1,44
"199",1,3,0,0,0,1,0,2,67
"200",3,6,0,0,0,2,1,1,68
"201",3,2,1,0,1,1,1,1,73
"202",4,6,1,0,1,2,0,1,40
"203",2,6,0,0,0,3,0,1,50
"204",2,3,0,0,0,2,0,1,63
"205",1,2,1,0,1,3,0,1,62
"206",1,3,0,0,0,3,1,2,78
"207",1,5,0,0,0,3,1,1,55
"208",2,3,0,0,0,3,0,1,77
"209",3,5,0,0,0,3,1,1,32
"210",NA,5,0,0,0,1,0,1,23
"211",3,5,0,0,0,1,0,5,60
"212",3,6,1,0,1,1,0,1,70
"213",1,4,1,0,1,3,0,1,42
"214",3,2,0,0,0,3,1,3,75
"215",3,2,1,0,1,3,0,1,71
"216",1,5,0,0,0,3,1,1,40
"217",NA,2,1,0,1,2,0,1,82
"218",3,5,0,0,0,3,0,1,39
"219",1,2,1,0,1,2,0,1,59
"220",4,3,1,0,1,3,0,1,61
"221",1,3,1,0,1,3,0,2,55
"222",1,5,1,0,1,3,1,1,77
"223",1,2,0,0,0,3,1,1,64
"224",3,5,0,0,0,1,0,1,68
"225",1,2,0,0,0,1,1,1,66
"226",NA,3,1,0,1,1,1,1,66
"227",4,6,0,0,0,3,0,1,68
"228",1,3,0,0,0,2,1,1,58
"229",2,6,0,0,0,1,1,3,46
"230",1,2,0,0,0,3,1,5,35
"231",1,6,1,0,1,3,1,1,84
"232",NA,4,0,0,0,3,1,1,55
"233",1,2,0,0,0,2,1,1,68
"234",1,3,0,0,0,1,1,1,47
"235",2,6,0,0,0,1,0,1,37
"236",1,5,0,0,0,3,0,2,31
"237",1,2,0,0,0,2,0,1,77
"238",NA,5,0,0,0,2,1,1,63
"239",4,6,0,0,0,3,0,1,39
"240",1,5,1,0,1,3,0,1,62
"241",2,5,0,0,0,3,0,1,41
"242",1,5,0,1,1,2,0,5,61
"243",3,5,0,0,0,3,0,5,36
"244",4,5,0,0,0,2,1,3,39
"245",NA,4,0,0,0,1,1,3,28
"246",3,2,0,0,0,2,1,1,61
"247",2,6,0,0,0,1,1,5,30
"248",2,3,1,0,1,1,1,1,75
"249",1,5,1,1,2,3,0,1,55
"250",4,5,0,0,0,1,1,2,40
"251",3,6,1,1,2,2,0,5,27
"252",4,4,1,1,2,2,0,1,69
"253",3,4,0,0,0,3,0,1,47
"254",1,5,0,0,0,1,1,2,72
"255",NA,5,0,0,0,2,1,1,59
"256",1,6,0,0,0,2,1,1,48
"257",4,5,1,0,1,1,0,1,43
"258",1,3,0,0,0,3,1,1,48
"259",NA,3,0,0,0,1,1,2,72
"260",1,2,0,0,0,3,0,1,85
"261",4,6,1,1,2,1,0,1,60
"262",NA,6,0,0,0,3,0,5,73
"263",1,2,1,0,1,3,1,1,69
"264",1,5,0,0,0,1,1,4,28
"265",4,6,1,0,1,2,0,5,42
"266",3,6,1,0,1,2,0,1,81
"267",2,4,1,0,1,1,1,3,73
"268",2,6,1,0,1,3,1,1,50
"269",1,5,1,0,1,1,0,1,68
"270",4,6,1,0,1,1,1,1,50
"271",2,5,1,0,1,3,0,1,56
